       chevybelair | Fri Feb 19 2021 16:00:08 GMT+0000 (Coordinated Universal Time): uh oh 
        DinoSchneller#7686 | Fri Feb 19 2021 16:32:26 GMT+0000 (Coordinated Universal Time): du bist dick 
        chris!#9999 | Fri Feb 19 2021 16:32:31 GMT+0000 (Coordinated Universal Time): proz 
        Proz#6409 | Fri Feb 19 2021 16:32:32 GMT+0000 (Coordinated Universal Time): Dino ist nicht dick 
        chris!#9999 | Fri Feb 19 2021 16:32:32 GMT+0000 (Coordinated Universal Time): hey proz 
        chris!#9999 | Fri Feb 19 2021 16:32:38 GMT+0000 (Coordinated Universal Time): proz wanna be friends 
        chris!#9999 | Fri Feb 19 2021 16:32:39 GMT+0000 (Coordinated Universal Time): pls 
        chris!#9999 | Fri Feb 19 2021 16:32:40 GMT+0000 (Coordinated Universal Time): hey 
        Proz#6409 | Fri Feb 19 2021 16:32:46 GMT+0000 (Coordinated Universal Time): Maybe 
        chris!#9999 | Fri Feb 19 2021 16:32:51 GMT+0000 (Coordinated Universal Time): here i got you a fruit cup 
        Proz#6409 | Fri Feb 19 2021 16:32:52 GMT+0000 (Coordinated Universal Time): I'll have to consider it 
        Proz#6409 | Fri Feb 19 2021 16:32:56 GMT+0000 (Coordinated Universal Time): Yo no way 
        Proz#6409 | Fri Feb 19 2021 16:33:02 GMT+0000 (Coordinated Universal Time): We're BFFs now 
        chevybelair#1236 | Fri Feb 19 2021 16:33:05 GMT+0000 (Coordinated Universal Time): proz du bist dick 
        chris!#9999 | Fri Feb 19 2021 16:33:06 GMT+0000 (Coordinated Universal Time): <a:lolrock:767478970219233305> 
        Proz#6409 | Fri Feb 19 2021 16:33:10 GMT+0000 (Coordinated Universal Time): Und du 
        chevybelair#1236 | Fri Feb 19 2021 16:33:14 GMT+0000 (Coordinated Universal Time): nein 
        chevybelair#1236 | Fri Feb 19 2021 16:33:17 GMT+0000 (Coordinated Universal Time): du 
        chevybelair#1236 | Fri Feb 19 2021 16:33:36 GMT+0000 (Coordinated Universal Time): chevybelair#1236 | Fri Feb 19 2021 16:33:05 GMT+0000 (Coordinated Universal Time): proz du bist dick 
        chris!#9999 | Fri Feb 19 2021 16:33:06 GMT+0000 (Coordinated Universal Time): :lolrock: 
        Proz#6409 | Fri Feb 19 2021 16:33:10 GMT+0000 (Coordinated Universal Time): Und du 
        chevybelair#1236 | Fri Feb 19 2021 16:33:14 GMT+0000 (Coordinated Universal Time): nein 
        chevybelair#1236 | Fri Feb 19 2021 16:33:17 GMT+0000 (Coordinated Universal Time): du 
        BoringOtaku#1130 | Fri Feb 19 2021 16:34:52 GMT+0000 (Coordinated Universal Time): <@!618805352007467008> Ayo 
        BoringOtaku#1130 | Fri Feb 19 2021 16:34:58 GMT+0000 (Coordinated Universal Time): Didn't I see you back in RMTF or? 
        chevybelair#1236 | Fri Feb 19 2021 16:35:08 GMT+0000 (Coordinated Universal Time): <@!439734132663386112> dick cock 
        Proz#6409 | Fri Feb 19 2021 16:35:18 GMT+0000 (Coordinated Universal Time): Ok 
        chevybelair#1236 | Fri Feb 19 2021 16:35:38 GMT+0000 (Coordinated Universal Time): is it true 
        DinoSchneller#7686 | Fri Feb 19 2021 16:35:48 GMT+0000 (Coordinated Universal Time): Sigh 
        Proz#6409 | Fri Feb 19 2021 16:35:56 GMT+0000 (Coordinated Universal Time): Cannot answer 
        chris!#9999 | Fri Feb 19 2021 16:36:12 GMT+0000 (Coordinated Universal Time):  
        chris!#9999 | Fri Feb 19 2021 16:36:20 GMT+0000 (Coordinated Universal Time): rohan OVA 🥺 
        chevybelair#1236 | Fri Feb 19 2021 16:36:42 GMT+0000 (Coordinated Universal Time): rohan came out on netflix yestday 
        chris!#9999 | Fri Feb 19 2021 16:36:49 GMT+0000 (Coordinated Universal Time): ya 
        DinoSchneller#7686 | Fri Feb 19 2021 16:36:55 GMT+0000 (Coordinated Universal Time): who is rohan 
        chris!#9999 | Fri Feb 19 2021 16:37:02 GMT+0000 (Coordinated Universal Time): jojo part 4 character 
        chevybelair#1236 | Fri Feb 19 2021 16:37:03 GMT+0000 (Coordinated Universal Time): a anime man 
        DinoSchneller#7686 | Fri Feb 19 2021 16:37:09 GMT+0000 (Coordinated Universal Time): Oh 
        DinoSchneller#7686 | Fri Feb 19 2021 16:37:23 GMT+0000 (Coordinated Universal Time): I guess that is cool 
        tiff#0709 | Fri Feb 19 2021 16:41:35 GMT+0000 (Coordinated Universal Time): hey besties 
        DinoSchneller#7686 | Fri Feb 19 2021 16:41:59 GMT+0000 (Coordinated Universal Time): Hi tiff 
        inadex#2374 | Fri Feb 19 2021 16:42:30 GMT+0000 (Coordinated Universal Time): hellooo 
        chris!#9999 | Fri Feb 19 2021 16:42:39 GMT+0000 (Coordinated Universal Time): <@!295635246102347778> Ew. 
        tiff#0709 | Fri Feb 19 2021 16:44:01 GMT+0000 (Coordinated Universal Time): <@!608463755407392799> 
        tiff#0709 | Fri Feb 19 2021 16:44:06 GMT+0000 (Coordinated Universal Time): <@!268772917679095808> 
        tiff#0709 | Fri Feb 19 2021 16:44:08 GMT+0000 (Coordinated Universal Time): <@!528639848756543509> 
        tiff#0709 | Fri Feb 19 2021 16:44:11 GMT+0000 (Coordinated Universal Time): hello. 
        tiff#0709 | Fri Feb 19 2021 16:44:15 GMT+0000 (Coordinated Universal Time): except for christopher 
        Emizne#1243 | Fri Feb 19 2021 16:44:34 GMT+0000 (Coordinated Universal Time): IM HERE TO 
        Emizne#1243 | Fri Feb 19 2021 16:44:35 GMT+0000 (Coordinated Universal Time): AA 
        Emizne#1243 | Fri Feb 19 2021 16:44:35 GMT+0000 (Coordinated Universal Time): A 
        Emizne#1243 | Fri Feb 19 2021 16:44:35 GMT+0000 (Coordinated Universal Time): A 
        chevybelair#1236 | Fri Feb 19 2021 16:44:44 GMT+0000 (Coordinated Universal Time): :cat 
        Phantom Bot#8560 | Fri Feb 19 2021 16:44:44 GMT+0000 (Coordinated Universal Time): https://purr.objects-us-east-1.dream.io/i/20170122_215220.jpg 
        Emizne#1243 | Fri Feb 19 2021 16:45:02 GMT+0000 (Coordinated Universal Time): petition for the sniper division to be called the sniper monkys 
        Proz#6409 | Fri Feb 19 2021 16:45:02 GMT+0000 (Coordinated Universal Time): Hey guys smh keep bot commands in bot commands smh 
        Proz#6409 | Fri Feb 19 2021 16:45:08 GMT+0000 (Coordinated Universal Time): Deniedf 
        Emizne#1243 | Fri Feb 19 2021 16:45:14 GMT+0000 (Coordinated Universal Time): https://tenor.com/view/discord-mod-discord-gif-18242678 
        chevybelair#1236 | Fri Feb 19 2021 16:45:14 GMT+0000 (Coordinated Universal Time): <@!484071146258694147> SOTP 🖐️ 
        Emizne#1243 | Fri Feb 19 2021 16:45:25 GMT+0000 (Coordinated Universal Time): <@!439734132663386112> 
        chevybelair#1236 | Fri Feb 19 2021 16:45:34 GMT+0000 (Coordinated Universal Time): :demote himenameisj woman 
        Phantom Bot#8560 | Fri Feb 19 2021 16:45:34 GMT+0000 (Coordinated Universal Time): himenameisj was demoted to Infiltrator from Senior Infiltrator 
        chevybelair#1236 | Fri Feb 19 2021 16:45:36 GMT+0000 (Coordinated Universal Time): :demote himenameisj woman 
        Phantom Bot#8560 | Fri Feb 19 2021 16:45:36 GMT+0000 (Coordinated Universal Time): himenameisj was demoted to Junior Infiltrator from Infiltrator 
        Proz#6409 | Fri Feb 19 2021 16:45:37 GMT+0000 (Coordinated Universal Time): I don't need a ping for that 
        Emizne#1243 | Fri Feb 19 2021 16:45:39 GMT+0000 (Coordinated Universal Time): ok 
        Proz#6409 | Fri Feb 19 2021 16:45:41 GMT+0000 (Coordinated Universal Time): I have eyes 
        chris!#9999 | Fri Feb 19 2021 16:45:47 GMT+0000 (Coordinated Universal Time): WHAT? 
        chevybelair#1236 | Fri Feb 19 2021 16:45:53 GMT+0000 (Coordinated Universal Time): proz test if u can use the bot 
        chevybelair#1236 | Fri Feb 19 2021 16:45:59 GMT+0000 (Coordinated Universal Time): promote hime back up 
        inadex#2374 | Fri Feb 19 2021 16:46:00 GMT+0000 (Coordinated Universal Time): yeah christopher 😒 
        Emizne#1243 | Fri Feb 19 2021 16:46:05 GMT+0000 (Coordinated Universal Time): can u not demote me for no reason 
        Emizne#1243 | Fri Feb 19 2021 16:46:07 GMT+0000 (Coordinated Universal Time): thans 
        Emizne#1243 | Fri Feb 19 2021 16:46:09 GMT+0000 (Coordinated Universal Time): thanks 
        chris!#9999 | Fri Feb 19 2021 16:46:09 GMT+0000 (Coordinated Universal Time): Ali Do You Blocked? 
        chevybelair#1236 | Fri Feb 19 2021 16:47:51 GMT+0000 (Coordinated Universal Time): ok try again peezee 
        Emizne#1243 | Fri Feb 19 2021 16:47:56 GMT+0000 (Coordinated Universal Time): :promote himenameisj 
        Proz#6409 | Fri Feb 19 2021 16:48:01 GMT+0000 (Coordinated Universal Time): :promote himenameisj 
        Phantom Bot#8560 | Fri Feb 19 2021 16:48:02 GMT+0000 (Coordinated Universal Time): himenameisj was promoted from Junior Infiltrator to Infiltrator 
        Emizne#1243 | Fri Feb 19 2021 16:48:07 GMT+0000 (Coordinated Universal Time): 💀 
        chevybelair#1236 | Fri Feb 19 2021 16:48:33 GMT+0000 (Coordinated Universal Time): :promote himenameisj woman 
        Phantom Bot#8560 | Fri Feb 19 2021 16:48:34 GMT+0000 (Coordinated Universal Time): himenameisj was promoted from Infiltrator to Senior Infiltrator 
        Emizne#1243 | Fri Feb 19 2021 16:48:48 GMT+0000 (Coordinated Universal Time): sotp 👐 
        Emizne#1243 | Fri Feb 19 2021 16:48:51 GMT+0000 (Coordinated Universal Time): 🤌 
        Emizne#1243 | Fri Feb 19 2021 16:48:57 GMT+0000 (Coordinated Universal Time): 🤏 shut up 
        chevybelair#1236 | Fri Feb 19 2021 16:49:42 GMT+0000 (Coordinated Universal Time): hime i will bless with with the emoji thats a woman with a beard 
        chevybelair#1236 | Fri Feb 19 2021 16:49:46 GMT+0000 (Coordinated Universal Time): it looks like jesus 
        chevybelair#1236 | Fri Feb 19 2021 16:50:08 GMT+0000 (Coordinated Universal Time): 🧔🏻‍♀️ 
        chevybelair#1236 | Fri Feb 19 2021 16:50:24 GMT+0000 (Coordinated Universal Time):  
        chris!#9999 | Fri Feb 19 2021 16:50:46 GMT+0000 (Coordinated Universal Time): if you fat BLOCK ME 
        _naaD#6947 | Fri Feb 19 2021 16:50:48 GMT+0000 (Coordinated Universal Time): Danielacrossbow 
uhhhhhh no idea lmao 2-3 weeks(?
im gonna go visit my mum tomorrow. because of corona my visits are like 2-3 weeks long so i go like every 3 months so yeah. Since my phone is fixed i can try to host trainings on mobile so also yeah but no promises 
        chris!#9999 | Fri Feb 19 2021 16:51:00 GMT+0000 (Coordinated Universal Time): ‼️‼️‼️‼️ 
        chevybelair#1236 | Fri Feb 19 2021 16:51:17 GMT+0000 (Coordinated Universal Time): thats why you blocked everyone here 
        Timmobrowo#9663 | Fri Feb 19 2021 16:52:34 GMT+0000 (Coordinated Universal Time): go on spi block him 
        inadex#2374 | Fri Feb 19 2021 16:52:35 GMT+0000 (Coordinated Universal Time): you cant block yourself 
        chris!#9999 | Fri Feb 19 2021 16:53:43 GMT+0000 (Coordinated Universal Time): well i’m not fat... 
        inadex#2374 | Fri Feb 19 2021 16:54:30 GMT+0000 (Coordinated Universal Time): well you are 
        Willl#8943 | Sat Feb 20 2021 03:15:11 GMT+0000 (Coordinated Universal Time): :cat 
        Phantom Bot#8560 | Sat Feb 20 2021 03:15:11 GMT+0000 (Coordinated Universal Time): https://purr.objects-us-east-1.dream.io/i/curl.jpg 
        Willl#8943 | Sat Feb 20 2021 03:15:13 GMT+0000 (Coordinated Universal Time): Ok 
        Willl#8943 | Sat Feb 20 2021 03:15:17 GMT+0000 (Coordinated Universal Time): :help 
        Phantom Bot#8560 | Sat Feb 20 2021 03:15:17 GMT+0000 (Coordinated Universal Time): :promote : promotes a user in group : :promote user
:demote : demotes a user in group : :demote user
:tryouttime : creates a tryout alert : :tryouttime date time host 
:tryoutstart : posts tryout link : :tryoutstart privateserverlink
:stats : gets your stats on a certain catagory : :stats strikes/marks/trainings/raids |  :stats get userping
:set : sets a users stats to something : :set strikes/marks fat @christophir! 
        Willl#8943 | Sat Feb 20 2021 03:15:39 GMT+0000 (Coordinated Universal Time): :stats <@!461608042878992385> 
        Willl#8943 | Sat Feb 20 2021 03:15:51 GMT+0000 (Coordinated Universal Time): <@!456194029609025548> Question 
        Willl#8943 | Sat Feb 20 2021 03:16:03 GMT+0000 (Coordinated Universal Time): can you make a training/raid stat too? 
        Willl#8943 | Sat Feb 20 2021 03:16:06 GMT+0000 (Coordinated Universal Time): like just copy post code 
        chevybelair#1236 | Sat Feb 20 2021 03:18:19 GMT+0000 (Coordinated Universal Time): it prob errored 
        Willl#8943 | Sat Feb 20 2021 03:20:04 GMT+0000 (Coordinated Universal Time): tuff 
        Willl#8943 | Sat Feb 20 2021 03:20:50 GMT+0000 (Coordinated Universal Time): <@&780834896255123486> stupid fucking COs wont wake up!!

how do you feel about
Req
Tim
Dist
Flying 
        Willl#8943 | Sat Feb 20 2021 03:20:52 GMT+0000 (Coordinated Universal Time): squad leaders 
        Willl#8943 | Sat Feb 20 2021 03:22:16 GMT+0000 (Coordinated Universal Time): lets do this to one of the fucking walls at the next PR with RMS 
        Willl#8943 | Sat Feb 20 2021 03:22:16 GMT+0000 (Coordinated Universal Time): LOL 
        chevybelair#1236 | Sat Feb 20 2021 03:22:20 GMT+0000 (Coordinated Universal Time): change the tryout channel id 
        chevybelair#1236 | Sat Feb 20 2021 03:22:22 GMT+0000 (Coordinated Universal Time): to the one here 
        Raymond#5415 | Sat Feb 20 2021 03:22:57 GMT+0000 (Coordinated Universal Time): bet 
        chris!#9999 | Sat Feb 20 2021 03:23:17 GMT+0000 (Coordinated Universal Time): it works on point C 
        chris!#9999 | Sat Feb 20 2021 03:23:22 GMT+0000 (Coordinated Universal Time): you can frog to the top of that building 
        chris!#9999 | Sat Feb 20 2021 03:23:28 GMT+0000 (Coordinated Universal Time): B and C i meant 
        Willl#8943 | Sat Feb 20 2021 03:23:40 GMT+0000 (Coordinated Universal Time): <@!685091966295343179> 
        Willl#8943 | Sat Feb 20 2021 03:23:42 GMT+0000 (Coordinated Universal Time): <@!496108054257860618> 
        Willl#8943 | Sat Feb 20 2021 03:24:03 GMT+0000 (Coordinated Universal Time): how 
        Raymond#5415 | Sat Feb 20 2021 03:24:26 GMT+0000 (Coordinated Universal Time): will 
        Willl#8943 | Sat Feb 20 2021 03:24:34 GMT+0000 (Coordinated Universal Time): yes 
        Raymond#5415 | Sat Feb 20 2021 03:24:37 GMT+0000 (Coordinated Universal Time): can you check my recruit thing 
        Raymond#5415 | Sat Feb 20 2021 03:24:39 GMT+0000 (Coordinated Universal Time): form 
        Willl#8943 | Sat Feb 20 2021 03:24:40 GMT+0000 (Coordinated Universal Time): just did 
        Raymond#5415 | Sat Feb 20 2021 03:24:42 GMT+0000 (Coordinated Universal Time): ok 
        Willl#8943 | Sat Feb 20 2021 03:24:43 GMT+0000 (Coordinated Universal Time): I'll promote in a second 
        Willl#8943 | Sat Feb 20 2021 03:24:45 GMT+0000 (Coordinated Universal Time): I gotta log everything 
